GISJOIN,YEAR,COUNTY,POPULATION
G0100010,1950,Autauga,18186
G0100030,1950,Baldwin,40997
G0100050,1950,Barbour,28892
G0100070,1950,Bibb,17987
G0100090,1950,Blount,28975
G0100110,1950,Bullock,16054
G0100130,1950,Butler,29228
G0100150,1950,Calhoun,79539
G0100170,1950,Chambers,39528
G0100190,1950,Cherokee,17634
G0100210,1950,Chilton,26922
G0100230,1950,Choctaw,19152
G0100250,1950,Clarke,26548
G0100270,1950,Clay,13929
G0100290,1950,Cleburne,11904
G0100310,1950,Coffee,30720
G0100330,1950,Colbert,39561
G0100350,1950,Conecuh,21776
G0100370,1950,Coosa,11766
G0100390,1950,Covington,40373
G0100410,1950,Crenshaw,18981
G0100430,1950,Cullman,49046
G0100450,1950,Dale,20828
G0100470,1950,Dallas,56270
G0100490,1950,DeKalb,45048
G0100510,1950,Elmore,31649
G0100530,1950,Escambia,31443
G0100550,1950,Etowah,93892
G0100570,1950,Fayette,19388
G0100590,1950,Franklin,25705
G0100610,1950,Geneva,25899
G0100630,1950,Greene,16482
G0100650,1950,Hale,20832
G0100670,1950,Henry,18674
G0100690,1950,Houston,46522
G0100710,1950,Jackson,38998
G0100730,1950,Jefferson,558928
G0100750,1950,Lamar,16441
G0100770,1950,Lauderdale,54179
G0100790,1950,Lawrence,27128
G0100810,1950,Lee,45073
G0100830,1950,Limestone,35766
G0100850,1950,Lowndes,18018
G0100870,1950,Macon,30561
G0100890,1950,Madison,72903
G0100910,1950,Marengo,29494
G0100930,1950,Marion,27264
G0100950,1950,Marshall,45090
G0100970,1950,Mobile,231105
G0100990,1950,Monroe,25732
G0101010,1950,Montgomery,138965
G0101030,1950,Morgan,52924
G0101050,1950,Perry,20439
G0101070,1950,Pickens,24349
G0101090,1950,Pike,30608
G0101110,1950,Randolph,22513
G0101130,1950,Russell,40364
G0101150,1950,St Clair,26687
G0101170,1950,Shelby,30362
G0101190,1950,Sumter,23610
G0101210,1950,Talladega,63639
G0101230,1950,Tallapoosa,35074
G0101250,1950,Tuscaloosa,94092
G0101270,1950,Walker,63769
G0101290,1950,Washington,15612
G0101310,1950,Wilcox,23476
G0101330,1950,Winston,18250
G0250015,1950,First Judicial Dist,28203
G0250035,1950,Fourth Judicial Dist,28650
G0250075,1950,Second Judicial Dist,12272
G0250115,1950,Third Judicial Dist,59518
G0400010,1950,Apache,27767
G0400030,1950,Cochise,31488
G0400050,1950,Coconino,23910
G0400070,1950,Gila,24158
G0400090,1950,Graham,12985
G0400110,1950,Greenlee,12805
G0400130,1950,Maricopa,331770
G0400150,1950,Mohave,8510
G0400170,1950,Navajo,29446
G0400190,1950,Pima,141216
G0400210,1950,Pinal,43191
G0400230,1950,Santa Cruz,9344
G0400250,1950,Yavapai,24991
G0400270,1950,Yuma,28006
G0500010,1950,Arkansas,23665
G0500030,1950,Ashley,25660
G0500050,1950,Baxter,11683
G0500070,1950,Benton,38076
G0500090,1950,Boone,16260
G0500110,1950,Bradley,15987
G0500130,1950,Calhoun,7132
G0500150,1950,Carroll,13244
G0500170,1950,Chicot,22306
G0500190,1950,Clark,22998
G0500210,1950,Clay,26674
